number;style;year;year_dt;nr_token;nr_adj;nr_noun;nr_verb;nr_adverb;per_verb;per_noun;per_adj;per_adverb;flesch_reading_ease;smog_index;flesch_kincaid_grade;coleman_liau_index;automated_readability_index;dale_chall_readability_score;difficult_words;linsear_write_formula;gunning_fog;text_standard
24;Gedicht ;1795;1795-01-01;1881.0;242.0;497.0;207.0;67.0;11.004784688995215;26.422115895800108;12.865497076023393;3.5619351408825097;59.03;8.4;10.1;12.71;14.0;7.89;363.0;10.8;16.44;11.0
25;Gedicht ;1781;1781-01-01;1718.0;142.0;406.0;198.0;95.0;11.525029103608848;23.63213038416764;8.265424912689173;5.529685681024447;-223.24;20.3;89.6;14.64;95.6;16.19;325.0;7.666666666666666;81.73;20.0
26;Epik ;1786;1786-01-01;7785.0;573.0;1452.0;1430.0;564.0;18.368657675016056;18.651252408477845;7.360308285163777;7.244701348747592;70.16;10.2;10.0;13.35;17.1;7.6;1286.0;22.666666666666668;17.26;10.0
27;Gedicht ;1803;1803-01-01;105.0;11.0;27.0;12.0;1.0;11.428571428571429;25.71428571428571;10.476190476190476;0.9523809523809523;-0.93;0.0;35.3;14.93;48.5;11.05;17.0;11.75;42.93;12.0
28;Gedicht ;1781;1781-01-01;149.0;6.0;40.0;19.0;5.0;12.751677852348994;26.845637583892618;4.026845637583893;3.3557046979865772;-64.54;0.0;55.6;14.76;71.5;14.29;34.0;18.333333333333332;63.75;15.0
29;Gedicht ;1788;1788-01-01;1099.0;124.0;315.0;117.0;67.0;10.646041856232939;28.662420382165603;11.282984531392174;6.096451319381256;53.28;10.6;14.4;14.28;22.0;9.24;264.0;8.333333333333334;23.69;14.0
30;Gedicht ;1796;1796-01-01;503.0;54.0;118.0;62.0;40.0;12.326043737574553;23.45924453280318;10.73558648111332;7.952286282306162;55.75;11.2;15.5;12.2;22.9;8.76;96.0;10.6;24.1;11.0
31;Gedicht ;1781;1781-01-01;468.0;21.0;98.0;60.0;30.0;12.820512820512821;20.94017094017094;4.487179487179487;6.410256410256411;-48.79;13.7;39.1;12.21;40.9;10.57;76.0;13.75;38.64;14.0
32;Gedicht ;1782;1782-01-01;761.0;65.0;180.0;70.0;40.0;9.198423127463863;23.653088042049934;8.541392904073588;5.256241787122208;13.35;11.3;21.5;13.59;24.0;9.08;150.0;7.833333333333334;24.92;20.0
33;Gedicht ;1795;1795-01-01;245.0;11.0;54.0;46.0;19.0;18.77551020408163;22.04081632653061;4.489795918367347;7.755102040816326;65.02;7.2;14.1;9.53;20.7;7.79;33.0;13.0;21.43;8.0
34;Epik ;1782;1782-01-01;1032.0;101.0;205.0;179.0;67.0;17.344961240310077;19.864341085271317;9.786821705426357;6.492248062015504;68.81;9.4;8.5;13.0;13.6;8.07;225.0;15.0;16.53;9.0
35;Gedicht ;1791;1791-01-01;576.0;72.0;126.0;92.0;47.0;15.972222222222223;22.027447814554264;12.5;8.159722222222223;77.71;8.4;9.2;11.78;16.3;7.59;94.0;12.75;17.46;8.0
36;Gedicht ;1800;1800-01-01;163.0;13.0;44.0;22.0;6.0;13.496932515337424;26.993865030674847;7.975460122699387;3.6809815950920246;74.42;8.4;8.4;12.3;14.7;7.69;29.0;6.0;16.32;8.0
37;Gedicht ;1797;1797-01-01;98.0;9.0;21.0;14.0;7.0;14.285714285714286;21.42857142857143;9.183673469387756;7.142857142857143;73.21;8.1;8.8;9.35;12.7;7.0;13.0;7.333333333333334;14.91;9.0
38;Gedicht ;1797;1797-01-01;215.0;19.0;45.0;28.0;15.0;13.023255813953488;20.930232558139537;8.837209302325581;6.976744186046512;-106.83;0.0;73.9;12.03;94.2;15.94;37.0;10.8;81.64;20.0
39;Gedicht ;1797;1797-01-01;2100.0;223.0;570.0;301.0;77.0;14.333333333333334;27.142857142857142;10.619047619047619;3.6666666666666665;70.16;9.2;10.0;11.9;16.1;7.91;386.0;8.5;18.04;10.0
40;Gedicht ;1797;1797-01-01;1387.0;110.0;266.0;213.0;93.0;15.35688536409517;19.178082191780824;7.930785868781543;6.705118961788032;42.65;10.6;20.6;10.52;28.1;8.77;210.0;10.6;27.66;11.0
41;Gedicht ;1797;1797-01-01;328.0;30.0;75.0;35.0;19.0;10.670731707317074;22.865853658536587;9.146341463414634;5.7926829268292686;-11.05;11.9;41.2;11.51;54.9;11.58;54.0;16.666666666666668;49.29;12.0
42;Gedicht ;1797;1797-01-01;656.0;42.0;126.0;96.0;31.0;14.634146341463415;19.20731707317073;6.402439024390245;4.725609756097561;-477.98;0.0;218.6;12.97;281.9;34.34;107.0;17.0;230.87;13.0
43;Gedicht ;1797;1797-01-01;1146.0;114.0;202.0;177.0;73.0;15.44502617801047;17.626527050610818;9.947643979057592;6.369982547993018;3.48;14.2;35.6;12.27;48.4;10.83;184.0;17.666666666666668;43.47;20.0
44;Gedicht ;1797;1797-01-01;1035.0;114.0;239.0;152.0;57.0;14.685990338164252;23.091787439613526;11.01449275362319;5.507246376811595;62.85;10.5;12.8;12.72;20.2;8.51;204.0;11.8;21.53;13.0
45;Historie ;1790;1790-01-01;199663.0;18178.0;43514.0;28601.0;11409.0;14.324637013367523;21.793722422281544;9.104340814272048;5.71412830619594;52.67;13.3;14.7;16.55;23.7;2.49;9333.0;15.5;15.97;16.0
46;Gedicht ;1797;1797-01-01;417.0;36.0;94.0;47.0;15.0;11.270983213429258;22.541966426858515;8.633093525179856;3.597122302158273;-56.05;12.5;50.2;11.74;60.6;11.7;50.0;26.0;52.6;12.0
47;Gedicht ;1786;1786-01-01;601.0;39.0;142.0;93.0;24.0;15.474209650582363;23.62728785357737;6.489184692179701;3.9933444259567388;38.59;10.5;15.9;13.3;20.1;8.65;119.0;6.857142857142857;21.6;16.0
48;Philo ;1795;1795-01-01;6103.0;553.0;1188.0;999.0;601.0;16.368998853023104;19.465836473865313;9.061117483204981;9.847615926593479;44.55;14.2;17.8;15.33;26.6;8.32;973.0;18.666666666666668;23.72;18.0
49;Gedicht ;1796;1796-01-01;675.0;69.0;171.0;87.0;28.0;12.88888888888889;25.333333333333332;10.222222222222221;4.148148148148148;74.63;7.2;8.3;10.91;13.3;7.37;110.0;6.285714285714286;15.47;7.0
50;Gedicht ;1803;1803-01-01;51.0;0.0;12.0;5.0;4.0;9.803921568627452;23.52941176470588;0.0;7.8431372549019605;56.6;0.0;17.3;6.46;21.7;7.33;4.0;12.0;22.53;0.0
51;Philo ;1797;1797-01-01;814.0;95.0;146.0;134.0;61.0;16.46191646191646;17.936117936117935;11.67076167076167;7.493857493857493;-8.68;19.1;36.2;16.67;49.6;11.94;198.0;33.0;45.0;17.0
52;Gedicht ;1795;1795-01-01;172.0;14.0;48.0;29.0;4.0;16.86046511627907;27.906976744186046;8.13953488372093;2.3255813953488373;63.56;10.8;12.5;12.83;19.7;8.25;31.0;7.0;20.68;13.0
53;Gedicht ;1782;1782-01-01;210.0;18.0;51.0;21.0;17.0;10.0;24.285714285714285;8.571428571428571;8.095238095238095;-23.99;16.3;31.7;17.65;37.8;11.25;53.0;11.6;35.93;12.0
54;Nacherz ;1801;1801-01-01;23607.0;1514.0;4464.0;3590.0;1351.0;15.207353751006059;18.909645444147923;6.41335197187275;5.722878807133478;58.86;10.1;12.3;11.96;17.9;6.61;2043.0;3.4000000000000004;15.52;12.0
55;Epik ;1792;1792-01-01;98560.0;6387.0;18688.0;17631.0;7826.0;17.88859577922078;18.96103896103896;6.480316558441558;7.940340909090909;53.89;12.0;14.2;14.4;21.4;6.37;6450.0;18.333333333333332;16.26;14.0
56;Epik ;1789;1789-01-01;4047.0;351.0;814.0;581.0;297.0;14.356313318507537;20.113664442797134;8.673091178650854;7.338769458858414;52.97;12.7;14.5;14.92;22.3;8.61;809.0;14.75;22.18;15.0
57;Epik ;1785;1785-01-01;12620.0;806.0;1893.0;2330.0;1201.0;18.462757527733757;15.0;6.386687797147385;9.516640253565768;66.3;9.9;11.5;12.2;17.9;7.06;1507.0;12.75;16.94;12.0
58;Gedicht ;1802;1802-01-01;358.0;26.0;67.0;49.0;23.0;13.687150837988826;18.71508379888268;7.262569832402234;6.424581005586592;-56.64;10.5;33.9;12.38;28.4;8.9;53.0;5.75;27.39;20.0
59;Gedicht ;1795;1795-01-01;43.0;4.0;6.0;6.0;3.0;13.953488372093023;13.953488372093023;9.30232558139535;6.976744186046512;-11.43;0.0;24.8;11.62;22.4;9.57;10.0;12.0;26.0;12.0
60;Gedicht ;1795;1795-01-01;114.0;6.0;21.0;14.0;13.0;12.280701754385966;18.42105263157895;5.2631578947368425;11.403508771929825;-8.22;0.0;27.7;10.11;27.9;8.65;16.0;7.666666666666666;27.38;20.0
61;Gedicht ;1800;1800-01-01;638.0;58.0;133.0;93.0;38.0;14.576802507836991;20.846394984326018;9.090909090909092;5.956112852664577;-547.02;0.0;226.4;13.61;278.7;34.43;121.0;13.5;229.18;14.0
62;Gedicht ;1795;1795-01-01;108.0;6.0;26.0;13.0;4.0;12.037037037037036;24.074074074074073;5.555555555555555;3.7037037037037033;3.84;11.9;21.0;12.54;19.8;8.76;22.0;14.25;22.12;13.0
63;Gedicht ;1804;1804-01-01;291.0;32.0;54.0;34.0;12.0;11.683848797250858;18.556701030927833;10.996563573883162;4.123711340206185;-247.93;0.0;109.5;13.26;126.9;19.44;55.0;17.333333333333332;108.07;20.0
64;Gedicht ;1797;1797-01-01;129.0;12.0;23.0;21.0;5.0;16.27906976744186;17.829457364341085;9.30232558139535;3.875968992248062;-100.42;0.0;54.8;10.99;56.7;12.7;25.0;13.25;53.41;13.0
65;Gedicht ;1795;1795-01-01;84.0;7.0;16.0;11.0;7.0;13.095238095238095;19.047619047619047;8.333333333333334;8.333333333333334;-4.97;7.8;20.2;11.73;15.4;8.63;18.0;4.714285714285714;19.59;20.0
66;Gedicht ;1798;1798-01-01;1272.0;112.0;331.0;103.0;28.0;8.09748427672956;26.02201257861635;8.80503144654088;2.20125786163522;-1084.97;0.0;426.9;13.55;531.1;58.93;195.0;10.4;429.79;20.0
67;Gedicht ;1800;1800-01-01;801.0;76.0;206.0;75.0;49.0;9.363295880149813;25.71785268414482;9.488139825218477;6.117353308364544;-43.55;11.1;28.8;14.28;23.7;9.38;168.0;6.857142857142857;25.06;20.0
68;Gedicht ;1797;1797-01-01;46.0;2.0;11.0;4.0;3.0;8.695652173913043;23.913043478260867;4.3478260869565215;6.521739130434782;-5.0;0.0;24.4;11.51;23.2;7.98;6.0;6.333333333333333;22.51;20.0
69;Gedicht ;1798;1798-01-01;683.0;49.0;145.0;88.0;31.0;12.88433382137628;21.2298682284041;7.174231332357247;4.538799414348462;-596.07;0.0;249.4;12.97;310.8;36.83;103.0;12.75;253.09;13.0
70;Gedicht ;1804;1804-01-01;294.0;23.0;72.0;31.0;9.0;10.54421768707483;24.489795918367346;7.8231292517006805;3.061224489795918;-56.03;10.4;33.6;12.32;28.0;9.2;49.0;10.2;27.99;20.0
71;Gedicht ;1797;1797-01-01;153.0;12.0;37.0;18.0;1.0;11.76470588235294;24.18300653594771;7.8431372549019605;0.6535947712418301;-127.15;0.0;63.0;13.31;67.8;12.97;24.0;11.0;59.04;13.0
72;Gedicht ;1801;1801-01-01;153.0;11.0;33.0;21.0;6.0;13.72549019607843;21.56862745098039;7.189542483660131;3.9215686274509802;-39.35;0.0;35.5;11.8;35.7;9.91;25.0;13.25;34.41;20.0
73;Gedicht ;1803;1803-01-01;902.0;73.0;222.0;99.0;29.0;10.975609756097562;24.6119733924612;8.093126385809313;3.215077605321508;-88.92;12.0;40.1;13.59;32.9;9.57;146.0;8.666666666666666;30.95;12.0
74;Gedicht ;1803;1803-01-01;149.0;7.0;33.0;23.0;7.0;15.436241610738255;22.14765100671141;4.697986577181208;4.697986577181208;-36.81;0.0;34.5;10.58;33.8;9.78;24.0;12.75;33.38;13.0
75;Gedicht ;1797;1797-01-01;135.0;16.0;25.0;10.0;18.0;7.4074074074074066;18.51851851851852;11.851851851851851;13.333333333333332;-11.43;11.2;24.8;12.08;22.5;8.78;24.0;6.571428571428571;24.0;20.0
76;Gedicht ;1798;1798-01-01;263.0;26.0;39.0;42.0;16.0;15.96958174904943;14.828897338403042;9.885931558935361;6.083650190114069;-205.3;0.0;99.3;11.63;117.1;17.83;40.0;14.0;99.33;20.0
77;Gedicht ;1798;1798-01-01;162.0;12.0;36.0;23.0;3.0;14.19753086419753;22.22222222222222;7.4074074074074066;1.8518518518518516;-112.93;0.0;63.8;12.56;72.7;12.84;20.0;17.333333333333332;61.71;13.0
78;Gedicht ;1795;1795-01-01;22.0;0.0;4.0;4.0;0.0;18.181818181818183;18.181818181818183;0.0;0.0;25.8;0.0;14.6;12.59;13.5;8.58;5.0;9.0;18.0;9.0
79;Gedicht ;1803;1803-01-01;956.0;73.0;200.0;118.0;39.0;12.343096234309623;20.920502092050206;7.635983263598326;4.079497907949791;-272.97;22.4;121.1;13.49;143.6;20.8;172.0;18.0;120.56;20.0
80;Gedicht ;1803;1803-01-01;198.0;20.0;38.0;22.0;8.0;11.11111111111111;19.191919191919194;10.1010101010101;4.040404040404041;-47.61;8.8;30.4;11.45;23.3;7.88;23.0;5.0;22.36;9.0
81;Gedicht ;1782;1782-01-01;109.0;6.0;23.0;8.0;13.0;7.339449541284403;21.10091743119266;5.504587155963303;11.926605504587155;43.53;7.6;12.0;8.94;10.7;6.56;12.0;2.923076923076923;12.68;11.0
82;Epik ;1799;1799-01-01;3951.0;405.0;857.0;593.0;257.0;15.008858516831182;21.690711212351303;10.250569476082005;6.504682358896482;52.57;12.4;14.7;14.52;22.2;8.39;739.0;14.75;21.73;15.0
83;Gedicht ;1800;1800-01-01;142.0;13.0;31.0;20.0;8.0;14.084507042253522;21.83098591549296;9.15492957746479;5.633802816901409;61.26;9.2;9.3;11.89;12.6;7.61;25.0;7.0;15.11;9.0
84;Gedicht ;1795;1795-01-01;46.0;3.0;10.0;5.0;3.0;10.869565217391305;21.73913043478261;6.521739130434782;6.521739130434782;75.03;0.0;8.1;7.83;10.5;7.64;8.0;10.75;16.04;8.0
85;Gedicht ;1795;1795-01-01;25.0;3.0;6.0;3.0;1.0;12.0;24.0;12.0;4.0;64.04;0.0;10.3;9.87;13.1;6.8;3.0;6.0;14.6;10.0
86;Gedicht ;1795;1795-01-01;19.0;4.0;4.0;2.0;1.0;10.526315789473685;21.05263157894737;21.05263157894737;5.2631578947368425;69.79;0.0;6.0;10.82;8.5;8.08;5.0;5.0;14.0;9.0
87;Gedicht ;1795;1795-01-01;23.0;0.0;5.0;2.0;0.0;8.695652173913043;21.73913043478261;0.0;0.0;57.61;0.0;10.7;10.68;12.9;9.03;6.0;12.0;19.71;11.0
88;Gedicht ;1795;1795-01-01;26.0;3.0;3.0;4.0;0.0;15.384615384615383;11.538461538461538;11.538461538461538;0.0;76.22;0.0;5.6;6.71;6.0;6.21;3.0;3.5;9.8;6.0
89;Gedicht ;1795;1795-01-01;22.0;1.0;3.0;6.0;2.0;27.272727272727273;13.636363636363637;4.545454545454546;9.090909090909092;81.29;3.1;3.7;9.35;7.0;6.99;4.0;2.5;10.42;7.0
90;Gedicht ;1795;1795-01-01;1009.0;93.0;309.0;113.0;47.0;11.199207135777998;30.62438057482656;9.217046580773042;4.658077304261646;55.92;11.1;13.4;14.57;20.7;8.86;228.0;6.857142857142857;22.0;15.0
91;Gedicht ;1781;1781-01-01;158.0;15.0;49.0;15.0;2.0;9.493670886075948;31.0126582278481;9.493670886075948;1.2658227848101264;42.61;8.0;12.3;13.4;14.5;8.55;35.0;4.3;17.97;13.0
